Country Code,Region,IncomeGroup,TableName
RWA,Sub-Saharan Africa,Low income,Rwanda
SAU,Middle East & North Africa,High income,Saudi Arabia
SDN,Sub-Saharan Africa,Low income,Sudan
SEN,Sub-Saharan Africa,Lower middle income,Senegal
SGP,East Asia & Pacific,High income,Singapore
SLB,East Asia & Pacific,Lower middle income,Solomon Islands
SLE,Sub-Saharan Africa,Low income,Sierra Leone
SLV,Latin America & Caribbean,Upper middle income,El Salvador
SRB,Europe & Central Asia,Upper middle income,Serbia
SUR,Latin America & Caribbean,Upper middle income,Suriname
SVK,Europe & Central Asia,High income,Slovak Republic
SVN,Europe & Central Asia,High income,Slovenia
SWE,Europe & Central Asia,High income,Sweden
SWZ,Sub-Saharan Africa,Lower middle income,Eswatini
SYC,Sub-Saharan Africa,High income,Seychelles
SYR,Middle East & North Africa,Low income,Syrian Arab Republic
TCD,Sub-Saharan Africa,Low income,Chad
TGO,Sub-Saharan Africa,Low income,Togo
THA,East Asia & Pacific,Upper middle income,Thailand
TJK,Europe & Central Asia,Lower middle income,Tajikistan
TKM,Europe & Central Asia,Upper middle income,Turkmenistan
TON,East Asia & Pacific,Upper middle income,Tonga
TTO,Latin America & Caribbean,High income,Trinidad and Tobago
TUN,Middle East & North Africa,Lower middle income,Tunisia
TUR,Europe & Central Asia,Upper middle income,Türkiye
TUV,East Asia & Pacific,Upper middle income,Tuvalu
TZA,Sub-Saharan Africa,Lower middle income,Tanzania
UGA,Sub-Saharan Africa,Low income,Uganda
UKR,Europe & Central Asia,Lower middle income,Ukraine
URY,Latin America & Caribbean,High income,Uruguay
USA,North America,High income,United States
UZB,Europe & Central Asia,Lower middle income,Uzbekistan
VCT,Latin America & Caribbean,Upper middle income,St. Vincent and the Grenadines
VNM,East Asia & Pacific,Lower middle income,Viet Nam
VUT,East Asia & Pacific,Lower middle income,Vanuatu
WSM,East Asia & Pacific,Lower middle income,Samoa
YEM,Middle East & North Africa,Low income,"Yemen, Rep."
ZAF,Sub-Saharan Africa,Upper middle income,South Africa
ZMB,Sub-Saharan Africa,Lower middle income,Zambia
ZWE,Sub-Saharan Africa,Lower middle income,Zimbabwe
